epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6653,1.20576,4.34845,1.25777,0.01291,0.10757,0.01892,0.017,0.75842,3.23304,1.03922,3.48465e-05,3.48465e-05,3.48465e-05
2,67.2832,0.7451,3.11604,0.9989,0.02595,0.26379,0.02928,0.02669,0.61909,2.69878,0.9703,6.84635e-05,6.84635e-05,6.84635e-05
3,94.4895,0.6689,2.53875,0.96435,0.04282,0.37909,0.04834,0.0429,0.58263,2.21439,0.94443,0.000100695,0.000100695,0.000100695
4,121.887,0.6233,2.10713,0.94845,0.17832,0.21563,0.08159,0.07245,0.53574,1.86338,0.9311,9.8763e-05,9.8763e-05,9.8763e-05
5,149.733,0.58814,1.85915,0.93248,0.14409,0.25569,0.11331,0.10116,0.50304,1.70979,0.91608,9.6684e-05,9.6684e-05,9.6684e-05
6,184.604,0.5614,1.7141,0.9214,0.1754,0.30989,0.14657,0.13147,0.48139,1.63693,0.90089,9.4605e-05,9.4605e-05,9.4605e-05
7,212.04,0.53979,1.61626,0.91162,0.19469,0.34387,0.18991,0.17166,0.45215,1.50028,0.891,9.2526e-05,9.2526e-05,9.2526e-05
8,239.795,0.52006,1.52395,0.90142,0.23976,0.37951,0.23163,0.20931,0.43444,1.41189,0.88421,9.0447e-05,9.0447e-05,9.0447e-05
9,267.545,0.49864,1.44042,0.89522,0.27794,0.38361,0.27039,0.24544,0.42175,1.34478,0.8771,8.8368e-05,8.8368e-05,8.8368e-05
10,295.565,0.48439,1.37147,0.88883,0.3178,0.41404,0.31386,0.2856,0.40251,1.23617,0.87272,8.6289e-05,8.6289e-05,8.6289e-05
11,323.233,0.46838,1.30891,0.8861,0.36126,0.43725,0.34902,0.31836,0.38946,1.16741,0.86696,8.421e-05,8.421e-05,8.421e-05
12,351.082,0.45516,1.24269,0.88026,0.39436,0.44718,0.38258,0.35037,0.3911,1.11656,0.86674,8.2131e-05,8.2131e-05,8.2131e-05
13,378.201,0.4457,1.19838,0.87765,0.4253,0.45951,0.41134,0.37779,0.37268,1.05896,0.86232,8.0052e-05,8.0052e-05,8.0052e-05
14,406.183,0.44181,1.15474,0.87399,0.45449,0.46825,0.43365,0.39794,0.36455,1.0129,0.86071,7.7973e-05,7.7973e-05,7.7973e-05
15,433.856,0.43525,1.12214,0.87402,0.47043,0.48081,0.45593,0.41872,0.36167,0.97038,0.8599,7.5894e-05,7.5894e-05,7.5894e-05
16,461.129,0.42689,1.07935,0.86937,0.49148,0.49132,0.47532,0.43649,0.35971,0.93206,0.85794,7.3815e-05,7.3815e-05,7.3815e-05
17,488.646,0.42086,1.04915,0.86735,0.49731,0.50013,0.48692,0.44632,0.35505,0.92135,0.8555,7.1736e-05,7.1736e-05,7.1736e-05
18,516.014,0.4129,1.02311,0.8674,0.51822,0.50092,0.5032,0.46186,0.34834,0.88556,0.85293,6.9657e-05,6.9657e-05,6.9657e-05
19,543.485,0.40729,0.99557,0.86448,0.54154,0.49875,0.51584,0.47323,0.34217,0.86214,0.85079,6.7578e-05,6.7578e-05,6.7578e-05
20,570.531,0.40395,0.97162,0.86018,0.56852,0.51053,0.53271,0.48937,0.3378,0.83683,0.84954,6.5499e-05,6.5499e-05,6.5499e-05
21,598.423,0.40232,0.95408,0.85948,0.56772,0.52723,0.5461,0.5021,0.33921,0.81263,0.84904,6.342e-05,6.342e-05,6.342e-05
22,625.979,0.39735,0.93594,0.85801,0.59125,0.52434,0.55725,0.51182,0.33261,0.80872,0.84627,6.1341e-05,6.1341e-05,6.1341e-05
23,653.616,0.39583,0.92087,0.85838,0.5979,0.5364,0.56483,0.52031,0.32944,0.77709,0.84533,5.9262e-05,5.9262e-05,5.9262e-05
24,680.913,0.3909,0.9073,0.85783,0.60161,0.54793,0.57513,0.5294,0.32533,0.75679,0.8444,5.7183e-05,5.7183e-05,5.7183e-05
