epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1054,0.82376,1.88913,1.03899,0.83528,0.74514,0.7771,0.69538,0.45143,0.67557,0.86647,0.000255194,0.000255194,0.000255194
2,63.6427,0.50453,0.64036,0.87726,0.9415,0.83405,0.90452,0.81449,0.3897,0.47348,0.83421,0.000501399,0.000501399,0.000501399
3,86.9175,0.45644,0.49958,0.85764,0.97275,0.85617,0.93014,0.8441,0.35079,0.39752,0.82177,0.000737453,0.000737453,0.000737453
4,109.839,0.43738,0.44987,0.8485,0.96121,0.87653,0.94254,0.85581,0.34846,0.3756,0.81995,0.000723321,0.000723321,0.000723321
5,132.498,0.40864,0.41737,0.84109,0.96564,0.89355,0.95126,0.86724,0.32058,0.33322,0.80994,0.000708095,0.000708095,0.000708095
6,155.627,0.38481,0.38891,0.8334,0.98522,0.89579,0.95807,0.8866,0.30267,0.31825,0.80306,0.000692869,0.000692869,0.000692869
7,178.586,0.36683,0.37121,0.829,0.98594,0.90333,0.96032,0.88854,0.29403,0.30277,0.80081,0.000677643,0.000677643,0.000677643
8,296.532,0.35936,0.35752,0.82641,0.97658,0.90798,0.96238,0.89194,0.29093,0.29224,0.79874,0.000662417,0.000662417,0.000662417
9,320.051,0.34734,0.34211,0.82444,0.98506,0.9091,0.96429,0.89648,0.28179,0.283,0.79638,0.00064719,0.00064719,0.00064719
10,343.442,0.33815,0.33006,0.82118,0.97759,0.91245,0.96667,0.9036,0.27299,0.27275,0.79141,0.000631964,0.000631964,0.000631964
11,366.568,0.32775,0.32186,0.81991,0.98008,0.91622,0.96833,0.90628,0.2677,0.26958,0.79058,0.000616738,0.000616738,0.000616738
12,389.59,0.32908,0.3143,0.81898,0.98041,0.9209,0.96899,0.90963,0.25567,0.25503,0.78761,0.000601512,0.000601512,0.000601512
13,412.79,0.3155,0.30169,0.81607,0.97781,0.92353,0.97062,0.91242,0.27109,0.2556,0.78814,0.000586286,0.000586286,0.000586286
14,436.153,0.31753,0.29848,0.81496,0.98472,0.91594,0.96929,0.91051,0.25492,0.24873,0.78695,0.000571059,0.000571059,0.000571059
15,459.29,0.31305,0.29309,0.81491,0.98303,0.92192,0.9722,0.91463,0.25884,0.2431,0.78431,0.000555833,0.000555833,0.000555833
16,482.194,0.3064,0.28386,0.81282,0.98633,0.92223,0.9725,0.91728,0.24555,0.23109,0.78384,0.000540607,0.000540607,0.000540607
17,505.284,0.29835,0.27871,0.81108,0.98345,0.92626,0.97475,0.91362,0.24622,0.23358,0.78302,0.000525381,0.000525381,0.000525381
18,528.634,0.29574,0.27441,0.8108,0.98472,0.92394,0.97379,0.9188,0.23758,0.22203,0.78112,0.000510155,0.000510155,0.000510155
19,551.704,0.29576,0.27115,0.81033,0.98247,0.92936,0.97446,0.92249,0.24317,0.22556,0.78093,0.000494928,0.000494928,0.000494928
20,574.617,0.29443,0.26853,0.80845,0.98403,0.92786,0.97592,0.92352,0.23727,0.21889,0.77945,0.000479702,0.000479702,0.000479702
21,597.23,0.2885,0.26326,0.80782,0.98105,0.93385,0.97475,0.92534,0.22827,0.20939,0.77856,0.000464476,0.000464476,0.000464476
22,619.919,0.28763,0.26122,0.8077,0.98894,0.92849,0.97645,0.92803,0.22804,0.20974,0.77816,0.00044925,0.00044925,0.00044925
23,642.795,0.28539,0.25614,0.80669,0.98113,0.93681,0.97697,0.9287,0.22932,0.20519,0.77766,0.000434024,0.000434024,0.000434024
24,665.774,0.27897,0.25089,0.80634,0.98573,0.92945,0.97733,0.92743,0.22678,0.20444,0.77724,0.000418797,0.000418797,0.000418797
25,688.446,0.2768,0.24863,0.80482,0.9863,0.92932,0.97804,0.92813,0.2274,0.20413,0.77729,0.000403571,0.000403571,0.000403571
26,711.122,0.277,0.24644,0.8054,0.98935,0.92936,0.97803,0.93066,0.21658,0.19551,0.77583,0.000388345,0.000388345,0.000388345
27,734.018,0.27312,0.24306,0.80372,0.97859,0.93893,0.97898,0.93056,0.2327,0.19923,0.77608,0.000373119,0.000373119,0.000373119
28,756.984,0.2729,0.24154,0.8043,0.98831,0.93049,0.97848,0.93058,0.21833,0.1946,0.77604,0.000357893,0.000357893,0.000357893
29,780.143,0.2686,0.23849,0.80376,0.98651,0.93115,0.97832,0.93086,0.22207,0.19616,0.77537,0.000342666,0.000342666,0.000342666
30,802.904,0.26481,0.23611,0.80351,0.98769,0.93506,0.97882,0.93327,0.21791,0.1898,0.77463,0.00032744,0.00032744,0.00032744
31,825.503,0.26656,0.2337,0.8033,0.98593,0.9372,0.97953,0.93456,0.21971,0.18694,0.77436,0.000312214,0.000312214,0.000312214
32,848.405,0.26223,0.22906,0.80245,0.98971,0.93216,0.97977,0.93526,0.21162,0.18652,0.7734,0.000296988,0.000296988,0.000296988
